,case,mean,variance,median,cv,skewness,kurtosis
0,1,837.5166666666667,132004.83305555556,1000.0,0.4338118967239889,-1.7888746516507235,1.200108754803864
0,2,780.7596153846154,160226.41817677516,1000.0,0.5126839487813932,-1.2781362432885448,-0.3661827815758336
0,3,794.6730769230769,140536.3354289941,1000.0,0.4717433782747355,-1.278167349036406,-0.36605452341237665
0,4,720.0535714285714,195931.96141581633,1000.0,0.6147348496966065,-0.9488010489250948,-1.0996030999993271
0,5,700.2,179795.6266666667,1000.0,0.6055743273670813,-0.7077343498953864,-1.4982289818655334
0,6,757.1964285714286,147390.88998724488,1000.0,0.5070219529444782,-0.9488398075012376,-1.0994725146250823
0,7,733.6333333333333,141982.3822222222,1000.0,0.5136155616419988,-0.7088916325704647,-1.4949706423362037
0,8,794.1911764705883,60520.7428633218,1000.0,0.3097612351606619,-0.35908907166270176,-1.8703526794437575
0,9,689.125,161226.734375,1000.0,0.5826671358161687,-0.5193545904920475,-1.726241722158718
0,10,670.9558823529412,154930.33628892736,1000.0,0.5866435053458114,-0.36362837479778726,-1.8610155869586895
